model,p,n1,n2,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,500,120,120,0.65,20,10,199,11,188,185,0,185,0.05527638190954774,0.9894736842105263,0.0,0.9736842105263158,212,23,189,188,1,187,0.10849056603773585,0.9947368421052631,0.005319148936170213,0.9842105263157894,3.9897909702328604,178,9,169,0.05056179775280899,0.8894736842105263,3.7769376681009357,205,25,180,0.12195121951219512,0.9473684210526315,4.0579194162091055,172,5,167,0.029069767441860465,0.8789473684210526,3.8300100945941082,197,19,178,0.09644670050761421,0.9368421052631579,24.19822
gaussian,500,120,120,0.65,20,11,202,15,187,165,2,163,0.07425742574257425,0.9842105263157894,0.012121212121212121,0.8578947368421053,218,29,189,178,3,175,0.13302752293577982,0.9947368421052631,0.016853932584269662,0.9210526315789473,4.0176351356010285,156,13,143,0.08333333333333333,0.7526315789473684,3.799960404874224,183,25,158,0.1366120218579235,0.8315789473684211,4.05117092996894,153,11,142,0.0718954248366013,0.7473684210526316,3.858547964996357,174,21,153,0.1206896551724138,0.8052631578947368,24.769294
gaussian,500,120,120,0.65,20,12,197,11,186,181,2,179,0.05583756345177665,0.9789473684210527,0.011049723756906077,0.9421052631578948,212,24,188,187,4,183,0.11320754716981132,0.9894736842105263,0.0213903743315508,0.9631578947368421,4.007756429098877,154,11,143,0.07142857142857142,0.7526315789473684,3.8065414696610462,180,19,161,0.10555555555555556,0.8473684210526315,4.062072828259695,152,11,141,0.07236842105263158,0.7421052631578947,3.859348886259648,173,16,157,0.09248554913294797,0.8263157894736842,25.553321
gaussian,500,120,120,0.65,20,13,194,18,176,145,1,144,0.09278350515463918,0.9263157894736842,0.006896551724137931,0.7578947368421053,210,29,181,157,2,155,0.1380952380952381,0.9526315789473684,0.012738853503184714,0.8157894736842105,4.046748908850394,131,8,123,0.061068702290076333,0.6473684210526316,3.8265455238087176,168,23,145,0.13690476190476192,0.7631578947368421,4.09364281156444,126,8,118,0.06349206349206349,0.6210526315789474,3.900316844513036,159,18,141,0.11320754716981132,0.7421052631578947,24.414521
gaussian,500,120,120,0.65,20,14,196,7,189,187,2,185,0.03571428571428571,0.9947368421052631,0.0106951871657754,0.9736842105263158,209,20,189,190,3,187,0.09569377990430622,0.9947368421052631,0.015789473684210527,0.9842105263157894,3.979352791701904,174,11,163,0.06321839080459771,0.8578947368421053,3.789005641943909,200,27,173,0.135,0.9105263157894737,4.053732560059912,163,8,155,0.049079754601226995,0.8157894736842105,3.8408094174843836,192,22,170,0.11458333333333333,0.8947368421052632,23.978794
gaussian,500,120,120,0.65,20,15,201,13,188,177,0,177,0.06467661691542288,0.9894736842105263,0.0,0.9315789473684211,214,25,189,190,4,186,0.11682242990654206,0.9947368421052631,0.021052631578947368,0.9789473684210527,4.001233082816961,165,12,153,0.07272727272727272,0.8052631578947368,3.7958157534663326,188,28,160,0.14893617021276595,0.8421052631578947,4.040745761310544,162,10,152,0.06172839506172839,0.8,3.8409613849348903,183,23,160,0.12568306010928962,0.8421052631578947,23.960052
gaussian,500,120,120,0.65,20,16,197,10,187,171,2,169,0.050761421319796954,0.9842105263157894,0.011695906432748537,0.8894736842105263,213,26,187,179,4,175,0.12206572769953052,0.9842105263157894,0.0223463687150838,0.9210526315789473,4.0290471096107074,142,9,133,0.06338028169014084,0.7,3.829392756804917,167,19,148,0.11377245508982035,0.7789473684210526,4.098832252894893,133,7,126,0.05263157894736842,0.6631578947368421,3.883975062990771,158,15,143,0.0949367088607595,0.7526315789473684,23.702911
gaussian,500,120,120,0.65,20,17,202,12,190,186,1,185,0.0594059405940594,1.0,0.005376344086021506,0.9736842105263158,214,24,190,189,2,187,0.11214953271028037,1.0,0.010582010582010581,0.9842105263157894,3.9773254926761696,185,12,173,0.06486486486486487,0.9105263157894737,3.7722049542182736,207,27,180,0.13043478260869565,0.9473684210526315,4.025164983448811,180,7,173,0.03888888888888889,0.9105263157894737,3.8232891838167915,202,23,179,0.11386138613861387,0.9421052631578948,23.751122
gaussian,500,120,120,0.65,20,18,177,9,168,142,3,139,0.05084745762711865,0.8842105263157894,0.02112676056338028,0.7315789473684211,199,19,180,150,3,147,0.09547738693467336,0.9473684210526315,0.02,0.7736842105263158,4.080206418347435,117,9,108,0.07692307692307693,0.5684210526315789,3.858866762654575,144,16,128,0.1111111111111111,0.6736842105263158,4.125647766621974,112,8,104,0.07142857142857142,0.5473684210526316,3.9182397657244534,133,12,121,0.09022556390977443,0.6368421052631579,24.032915
gaussian,500,120,120,0.65,20,19,181,7,174,145,2,143,0.03867403314917127,0.9157894736842105,0.013793103448275862,0.7526315789473684,208,25,183,167,5,162,0.1201923076923077,0.9631578947368421,0.029940119760479042,0.8526315789473684,4.03145394572808,139,11,128,0.07913669064748201,0.6736842105263158,3.826611799903568,166,23,143,0.13855421686746988,0.7526315789473684,4.099299928678001,130,8,122,0.06153846153846154,0.6421052631578947,3.881149827623117,155,18,137,0.11612903225806452,0.7210526315789474,24.706073
