model,p,n,rho,block,seed,R_bh_0.05,V_bh_0.05,S_bh_0.05,R_by_0.05,V_by_0.05,S_by_0.05,fdr_bh_0.05,power_bh_0.05,fdr_by_0.05,power_by_0.05,R_bh_0.1,V_bh_0.1,S_bh_0.1,R_by_0.1,V_by_0.1,S_by_0.1,fdr_bh_0.1,power_bh_0.1,fdr_by_0.1,power_by_0.1,t_lct_0.05,R_lct_0.05,V_lct_0.05,S_lct_0.05,fdr_lct_0.05,power_lct_0.05,t_lct_0.1,R_lct_0.1,V_lct_0.1,S_lct_0.1,fdr_lct_0.1,power_lct_0.1,t_lctb_0.05_B100,R_lctb_0.05_B100,V_lctb_0.05_B100,S_lctb_0.05_B100,fdr_lctb_0.05_B100,power_lctb_0.05_B100,t_lctb_0.1_B100,R_lctb_0.1_B100,V_lctb_0.1_B100,S_lctb_0.1_B100,fdr_lctb_0.1_B100,power_lctb_0.1_B100,wall_time_s
gaussian,250,120,0.35,20,10,19,4,15,2,0,2,0.21052631578947367,0.07894736842105263,0.0,0.010526315789473684,29,4,25,3,0,3,0.13793103448275862,0.13157894736842105,0.0,0.015789473684210527,4.417496684256045,8,0,8,0.0,0.042105263157894736,4.264496064849482,9,1,8,0.1111111111111111,0.042105263157894736,4.595450405234039,5,0,5,0.0,0.02631578947368421,4.264496064849482,9,1,8,0.1111111111111111,0.042105263157894736,9.113888
gaussian,250,120,0.35,20,11,3,1,2,2,0,2,0.3333333333333333,0.010526315789473684,0.0,0.010526315789473684,16,2,14,2,0,2,0.125,0.07368421052631578,0.0,0.010526315789473684,5.030566620092364,2,0,2,0.0,0.010526315789473684,4.3907948363142335,5,1,4,0.2,0.021052631578947368,5.030566620092364,2,0,2,0.0,0.010526315789473684,4.3907948363142335,5,1,4,0.2,0.021052631578947368,9.087027
gaussian,250,120,0.35,20,12,10,0,10,3,0,3,0.0,0.05263157894736842,0.0,0.015789473684210527,24,1,23,7,0,7,0.041666666666666664,0.12105263157894737,0.0,0.03684210526315789,5.170519892725886,1,0,1,0.0,0.005263157894736842,4.285791693135337,7,0,7,0.0,0.03684210526315789,5.170519892725886,1,0,1,0.0,0.005263157894736842,4.285791693135337,7,0,7,0.0,0.03684210526315789,9.08682
gaussian,250,120,0.35,20,13,15,0,15,0,0,0,0.0,0.07894736842105263,0.0,0.0,25,4,21,7,0,7,0.16,0.11052631578947368,0.0,0.03684210526315789,4.289355691289501,12,0,12,0.0,0.06315789473684211,4.006372457786274,22,3,19,0.13636363636363635,0.1,4.562564712940479,7,0,7,0.0,0.03684210526315789,4.289355691289501,12,0,12,0.0,0.06315789473684211,8.869952
gaussian,250,120,0.35,20,14,25,2,23,0,0,0,0.08,0.12105263157894737,0.0,0.0,40,3,37,0,0,0,0.075,0.19473684210526315,0.0,0.0,4.662994836309855,3,0,3,0.0,0.015789473684210527,3.882936420830543,34,3,31,0.08823529411764706,0.1631578947368421,4.662994836309855,3,0,3,0.0,0.015789473684210527,3.9599927010492375,26,3,23,0.11538461538461539,0.12105263157894737,9.148122
gaussian,250,120,0.35,20,15,9,2,7,0,0,0,0.2222222222222222,0.03684210526315789,0.0,0.0,11,2,9,2,0,2,0.18181818181818182,0.04736842105263158,0.0,0.010526315789473684,4.762921401555953,3,0,3,0.0,0.015789473684210527,4.507543043860401,4,0,4,0.0,0.021052631578947368,4.762921401555953,3,0,3,0.0,0.015789473684210527,4.507543043860401,4,0,4,0.0,0.021052631578947368,8.93905
gaussian,250,120,0.35,20,16,7,0,7,2,0,2,0.0,0.03684210526315789,0.0,0.010526315789473684,22,5,17,2,0,2,0.22727272727272727,0.08947368421052632,0.0,0.010526315789473684,4.484893016414002,5,1,4,0.2,0.021052631578947368,4.168895223640148,13,4,9,0.3076923076923077,0.04736842105263158,inf,0,0,0,0.0,0.0,4.168895223640148,13,4,9,0.3076923076923077,0.04736842105263158,8.888236
gaussian,250,120,0.35,20,17,20,3,17,0,0,0,0.15,0.08947368421052632,0.0,0.0,42,7,35,0,0,0,0.16666666666666666,0.18421052631578946,0.0,0.0,4.59524373781872,3,1,2,0.3333333333333333,0.010526315789473684,4.077004797291978,15,4,11,0.26666666666666666,0.05789473684210526,4.861775323455529,2,0,2,0.0,0.010526315789473684,4.487650537503731,4,1,3,0.25,0.015789473684210527,9.123595
gaussian,250,120,0.35,20,18,15,1,14,2,0,2,0.06666666666666667,0.07368421052631578,0.0,0.010526315789473684,38,6,32,2,0,2,0.15789473684210525,0.16842105263157894,0.0,0.010526315789473684,5.716462905921615,1,0,1,0.0,0.005263157894736842,4.041567826855783,18,5,13,0.2777777777777778,0.06842105263157895,5.716462905921615,1,0,1,0.0,0.005263157894736842,4.618590366472909,2,0,2,0.0,0.010526315789473684,9.064324
gaussian,250,120,0.35,20,19,18,1,17,3,0,3,0.05555555555555555,0.08947368421052632,0.0,0.015789473684210527,21,1,20,6,0,6,0.047619047619047616,0.10526315789473684,0.0,0.031578947368421054,4.295289389840176,12,0,12,0.0,0.06315789473684211,4.107792929441147,14,0,14,0.0,0.07368421052631578,4.504727469805904,10,0,10,0.0,0.05263157894736842,4.225202506618056,13,0,13,0.0,0.06842105263157895,9.22081
