file,model,p,n,rho,alpha,method,mean,se
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,BY,0.1321052631578947,0.022020348712021742
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,LCT-B,0.1157894736842105,
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,-,LCT-N,0.618421052631579,0.04723048553284386
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,BH,0.2818421052631579,0.037056115660294583
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,BY,0.0907894736842105,0.016585981008094598
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,LCT-B,0.0842105263157894,
power_gaussian_p250_n80_rho0.5_b20_R20.csv,gaussian,250,80,0.5,0.05,LCT-N,0.5694736842105264,0.04836381055856902
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,BH,0.7502631578947369,0.037289478082719076
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,BY,0.5034210526315789,0.04833919824722707
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,LCT-B,0.6105263157894737,
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,-,LCT-N,0.9047368421052632,0.02357129129760101
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,BH,0.6826315789473684,0.04301154159417708
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,BY,0.4336842105263158,0.04626508178617162
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,LCT-B,0.5631578947368421,
power_gaussian_p250_n80_rho0.6_b20_R20.csv,gaussian,250,80,0.6,0.05,LCT-N,0.8805263157894737,0.026891486812427125
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,BH,0.9594736842105263,0.011053950587434552
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,BY,0.8713157894736842,0.029587421524448085
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,LCT-B,0.9789473684210528,
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,-,LCT-N,0.9944736842105264,0.0019271995913898486
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,BH,0.9376315789473685,0.016793016238078183
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,BY,0.8328947368421054,0.033267144033397214
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,LCT-B,0.936842105263158,
power_gaussian_p250_n80_rho0.7_b20_R20.csv,gaussian,250,80,0.7,0.05,LCT-N,0.9907894736842107,0.00319176206726583
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,BH,0.9981578947368421,0.001162857659199568
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,BY,0.9926315789473683,0.002867537793818847
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,LCT-B,1.0,
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,-,LCT-N,0.999736842105263,0.0002631578947368374
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,BH,0.9973684210526315,0.0016423112307791226
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,BY,0.9905263157894737,0.0034279708441686944
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,LCT-B,0.9947368421052633,
power_gaussian_p250_n80_rho0.8_b20_R20.csv,gaussian,250,80,0.8,0.05,LCT-N,0.9994736842105263,0.0003622353692693015
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,BH,0.8123684210526315,0.026832258799088512
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,BY,0.5439473684210526,0.04126105731269263
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,LCT-B,0.3263157894736842,
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,-,LCT-N,0.5521052631578948,0.04617755119259702
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,BH,0.7323684210526316,0.0331758624316356
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,BY,0.47526315789473683,0.04053890512089148
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,LCT-B,0.1842105263157894,
power_nmix_p250_n120_rho0.5_b20_R20.csv,nmix,250,120,0.5,0.05,LCT-N,0.5147368421052632,0.046159709310915
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,BH,0.9557894736842105,0.009087223735761854
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,BY,0.8268421052631579,0.02566196075460922
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,LCT-B,0.7210526315789474,
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,-,LCT-N,0.8726315789473684,0.022835198159140126
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,0.05,BH,0.9228947368421053,0.014460583343093037
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,0.05,BY,0.7844736842105263,0.03102814894765164
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,0.05,LCT-B,0.6473684210526316,
power_nmix_p250_n120_rho0.6_b20_R20.csv,nmix,250,120,0.6,0.05,LCT-N,0.8489473684210527,0.025368260134430606
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,-,BH,0.9981578947368421,0.0006909955503194606
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,-,BY,0.9757894736842105,0.005445591664954865
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,-,LCT-B,0.9578947368421052,
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,-,LCT-N,0.990263157894737,0.0022997112466675617
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,0.05,BH,0.993421052631579,0.0016588727713587963
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,0.05,BY,0.9655263157894737,0.007438085794068538
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,0.05,LCT-B,0.936842105263158,
