file,model,p,n,rho,alpha,method,mean,se
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,LCT-B,0.0,
power_exp_cl_p250_n80_rho0.5_b20_R300.csv,exp_cl,250,80,0.5,0.05,LCT-N,0.15282456140350875,0.008606273569600547
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,BH,0.7630877192982456,0.01047269607299636
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,BY,0.537719298245614,0.013718601329605664
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,LCT-B,0.3631578947368421,
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,-,LCT-N,0.5512105263157895,0.014865877216820922
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,BH,0.6984912280701754,0.011909313955236483
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,BY,0.4765087719298246,0.013825370135908259
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,LCT-B,0.3105263157894737,
power_exp_cl_p250_n80_rho0.6_b20_R300.csv,exp_cl,250,80,0.6,0.05,LCT-N,0.5117719298245614,0.014928740652701814
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,BH,0.9442456140350877,0.004519360400720865
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,BY,0.8503859649122807,0.008918577966788228
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,LCT-B,0.8263157894736842,
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,-,LCT-N,0.8780701754385966,0.008874185431274393
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,BH,0.9216140350877193,0.00575736903600865
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,BY,0.8161578947368421,0.010129215931567516
power_exp_cl_p250_n80_rho0.7_b20_R300.csv,exp_cl,250,80,0.7,0.05,LCT-B,0.7947368421052632,
